arBW,source,arTitle,lat,eiSearch,lon,region,translitTitleOther,topURI,searchNames,topTypeAlt,topType,translitTitle,arTitleOther,UStranslitTitle
wEqo,Andalus,وشقة,42.16109,Washqa,-0.35371,Andalus,Wašqaŧ,WASHQA_003W421N_S_ANDA,Washqa,cite?,towns,Wašqaŧ,وشقة,Wašqaŧ
blnsyo,Andalus,بلنسية,39.43516,Balansiyya,-0.41486,Andalus,Balansiyyaŧ,BALANSIYYA_004W394N_S_ANDA,Balansiyya,cite,towns,Balansiyyaŧ,بلنسية,Balansiyyaŧ
blnsyo,Andalus,بلنسية,39.43516,Balansiyya,-0.41486,Andalus,Balansiyyaŧ,BALANSIYYA_004W394N_S_ANDA,Balansiyya,cite,towns,Balansiyyaŧ,بلنسية,Balansiyyaŧ
blnsyo,Andalus,بلنسية,39.43516,Balansiyya,-0.41486,Andalus,Balansiyyaŧ,BALANSIYYA_004W394N_S_ANDA,Balansiyya,cite,towns,Balansiyyaŧ,بلنسية,Balansiyyaŧ
AlEqr,Andalus,الشقر,39.16483,al-Shaqr,-0.43734,Andalus,al-Šaqr,SHAQR_004W391N_S_ANDA,al-Shaqr,localite,villages,al-Šaqr,الشقر,al-Šaqr
AlEqr,Andalus,الشقر,39.16483,al-Shaqr,-0.43734,Andalus,al-Šaqr,SHAQR_004W391N_S_ANDA,al-Shaqr,localite,villages,al-Šaqr,الشقر,al-Šaqr
qAnt,Andalus,قانت,38.34618,Qant,-0.47061,Andalus,Qānt,QANT_004W383N_S_ANDA,Qant,cite,towns,Qānt,قانت,Qānt
qAnt,Andalus,قانت,38.34618,Qant,-0.47061,Andalus,Qānt,QANT_004W383N_S_ANDA,Qant,cite,towns,Qānt,قانت,Qānt
EAtbo,Andalus,شاتبة,38.96551,Shatiba,-0.52276,Andalus,Šātibaŧ,SHATIBA_005W389N_S_ANDA,Shatiba,cite,towns,Šātibaŧ,شاتبة,Šātibaŧ
EAtbo,Andalus,شاتبة,38.96551,Shatiba,-0.52276,Andalus,Šātibaŧ,SHATIBA_005W389N_S_ANDA,Shatiba,cite,towns,Šātibaŧ,شاتبة,Šātibaŧ
