lat,lng,name
37.18967,41.48245,المونسة
36.85799,41.45857,المونسة
35.9054,65.15999,قصر الأمير
36.48128,64.61786,قصر الأمير
34.64592,48.85744,طاق سعيد
34.34354,48.62822,طاق سعيد
31.36636,49.31814,آزر
31.16753,49.32395,آزر
40.29826,47.51439,يونان
40.02435,47.18411,يونان
42.44659,59.6223,روزوند
41.42256,59.51666,روزوند
39.05149,45.54765,نشوى
38.61164,44.3477,نشوى
31.62147,48.90322,العسكر
31.75659,48.64322,العسكر
28.14357,52.60355,برزرة
28.09271,52.15501,برزرة
14.25594,44.28003,یحصب
14.49895,44.15172,یحصب
40.27808,64.14112,بخارا
39.57032,64.3945,بخارا
32.63782,45.70613,جبل
32.4576,45.68954,جبل
30.96988,70.87414,الملتان
27.29588,70.79258,الملتان
41.03701,68.97779,نهر الشاش
40.92145,68.62013,نهر الشاش
22.0856,39.64789,أمج
22.17913,39.38243,أمج
34.90118,62.7153,v
34.58061,62.30137,v
31.40761,49.76142,وادي الملح
31.03921,49.52322,وادي الملح
31.25837,52.32292,إصطخران
30.82215,52.15124,إصطخران
21.62711,40.00076,بئر ابن المرتفع
21.23003,40.04703,بئر ابن المرتفع
30.02247,52.37011,قرية جويم
29.70533,52.24073,قرية جويم
32.43804,34.96499,قيسارية
32.50356,34.79689,قيسارية
34.54399,48.82661,الديمر
34.65763,48.2993,الديمر
33.93204,49.83726,جراناباذ
33.5802,49.76365,جراناباذ
30.20359,53.323,كماهنك
30.56584,52.8926,كماهنك
37.50741,62.61061,مهدي آباذ
36.7862,62.15477,مهدي آباذ
35.43139,50.48705,ودروه
34.85118,50.71133,ودروه
37.17132,61.16474,أشترمغك
36.37223,61.49566,أشترمغك
30.21369,50.49933,مهربان
30.05091,50.00241,مهربان
34.4848,47.36433,جبل بيستون
34.30755,47.3856,جبل بيستون
19.82177,42.60348,بیشة
19.74604,42.53183,بیشة
43.02402,59.49472,وردراغ
42.17288,59.80213,وردراغ
34.51977,47.21573,قصر عمرو
34.06683,47.07237,قصر عمرو
30.76751,50.31554,ارجان
30.30275,50.51014,ارجان
30.13305,55.91036,أناس
30.20225,55.87182,أناس
37.47068,57.26175,سبداست
37.03704,57.12094,سبداست
30.26913,52.90272,بئر
29.82997,53.08694,بئر
30.80474,48.0295,نهر دبا
30.11022,47.94668,نهر دبا
37.01396,42.99619,معلثايا
36.73617,42.78237,معلثايا
42.78086,59.47524,درسان
42.21635,59.67899,درسان
37.05978,54.29187,أستراباذ
36.51424,54.33228,أستراباذ
31.81148,61.91828,بشتر
31.17842,61.43205,بشتر
28.38115,53.92777,جويم ابى احمد
27.94335,53.98961,جويم ابى احمد
40.6711,62.59378,رباط جكربند
40.01949,62.51331,رباط جكربند
34.60739,42.20359,آلوسة
34.06695,41.93848,آلوسة
29.81192,51.81229,قرية الحطب
29.40544,51.81343,قرية الحطب
41.19127,61.80737,مضيق النهر
40.96947,61.75895,مضيق النهر
30.64272,50.59405,النهر
30.34108,50.22217,النهر
39.74891,65.32154,جب سعيد
38.74045,65.14993,جب سعيد
31.93781,35.11753,اريحاء
31.72094,35.05373,اريحاء
31.1348,50.14714,بسابك
30.41141,50.13841,بسابك
