geoTitle,cornuName,geoTitleOther,lat,lon,cornuRegion,geoProv,geoFinalReg,eiSearch
حمام ابن عمر,حمام إبن عمر,حمام إبن عمر,32.39084,44.34773,Iraq,العراق,الکوفة,Hammam Ibn Umar
الجامعين,الجامعان,الجامعين,32.48152,44.43704,Iraq,العراق,الکوفة,|al-Jamian, al-Jamiayn|
النيل,النيل,النيل,32.511,44.89011,Iraq,العراق,الکوفة,al-Nil
عين التمر,عين التمر,عين التمر,32.62337,43.52574,Iraq,العراق,الکوفة,Ayn al-Tamr
بيان,بيان,بيان,30.46468,48.03005,Iraq,العراق,البصرة,Bayan
دبا,دبا,دبا,25.59071,56.22657,Jazirat al-Arab,العراق,البصرة,Daba
ابو الخصيب,أبو الخصيب,أبو الخصيب,30.43759,47.99265,Iraq,العراق,البصرة,Abu al-Khasib
عبادان,عبادان,عبادان,30.33563,48.27394,Iraq,العراق,البصرة,Abbadan
فم الصلح,فم الصلح,فم الصلح,32.46405,46.1315,Iraq,العراق,واسط,Fam al-Silh
باذبين,باذبين,باذبين,32.17087,46.59233,Iraq,العراق,واسط,Badhibin
الطيب,الطيب,الطيب,32.22674,47.30428,Iraq,العراق,واسط,al-Tib
النهروان,النهروان,النهروان,33.43161,44.59405,Iraq,العراق,بغداد,al-Nahrawan
بردان,بردان,بردان,33.50829,44.36092,Iraq,العراق,بغداد,Baradan
طراستان,الهاروني,طرستان,33.97686,45.01502,Iraq,العراق,بغداد,|al-Haruniyya, Tarastan|
خانقين,خانقين,خانقين,34.34844,45.44708,Iraq,العراق,حلوان,Khaniqin
السيروان,السيروان,السيروان/ الشيراوان,33.52303,46.86539,Jibal,العراق,حلوان,|al-Sirawan, al-Shirawan|
الدور,الدور,الدور,34.46814,43.80541,Iraq,العراق,سامرا,al-Dur
الدور,الدورق,الدورق/ السراق,30.81069,48.92625,Khuzistan,العراق,سامرا,|al-Dawraq, al-Surraq|
الدور,الدورق,الدورق/ السراق,30.81069,48.92625,Khuzistan,العراق,سامرا,|al-Dawraq, al-Surraq|
الجامعين,الجامعان,الجامعين,32.48152,44.43704,Iraq,العراق,سامرا,|al-Jamian, al-Jamiayn|
دمما,دمما,دمما,33.33483,43.78276,Iraq,العراق,سامرا,Dimimma
الأنبار,الأنبار,الأنبار,33.39492,43.7015,Iraq,العراق,سامرا,al-Anbar
الأنبار,الأنبار,الأنبار,36.20578,65.94751,Khurasan,العراق,سامرا,al-Anbar
هيت,هيت,هيت,33.6437,42.80628,Iraq,العراق,سامرا,Hit
السن,السن,السن,35.26076,43.46591,Iraq,العراق,سامرا,al-Sinn
ساوة,ساوة,ساوة,34.97799,50.42711,Jibal,الجبال,الري,Sawa
قزوين,قزوين,قزوين,36.27854,50.0011,Jibal,الجبال,الري,Qazwin
