poly,name
"POLYGON ((57.21605043826059 37.00615154106069, 57.21256529705672 36.99697770558444, 57.2081977446411 36.98818964820793, 57.20298984293104 36.97987200272772, 57.19699174686694 36.97210487261669, 57.19026122139277 36.96496305958373, 57.18286308514814 36.95851534319248, 57.17486858622933 36.95282381847646, 57.16635471603114 36.94794329792999, 57.15740346777775 36.94392078363389, 57.14810104688309 36.94079501459977, 57.1385370407456 36.93859609369215, 57.12880355597259 36.93734519772142, 57.11899433134329 36.93705437349958, 57.10920383505314 36.93772642182287, 57.09952635493347 36.93935487049857, 57.09005509040806 36.94192403667572, 57.08088125493182 36.94540917787958, 57.0720931975553 36.9497767302952, 57.0637755520751 36.95498463200526, 57.05600842196407 36.96098272806937, 57.04886660893111 36.96771325354354, 57.04241889253986 36.97511138978816, 57.03672736782384 36.98310588870697, 57.03184684727736 36.99161975890516, 57.02782433298127 37.00057100715855, 57.02469856394715 37.00987342805321, 57.02249964303952 37.01943743419071, 57.0212487470688 37.02917091896371, 57.02095792284695 37.03898014359302, 57.02162997117025 37.04877063988316, 57.02325841984594 37.05844812000283, 57.02582758602309 37.06791938452824, 57.16663639106967 37.50156011103643, 57.17012153227353 37.51073394651268, 57.17448908468915 37.51952200388919, 57.17969698639921 37.5278396493694, 57.18569508246332 37.53560677948043, 57.19242560793749 37.54274859251339, 57.19982374418211 37.54919630890464, 57.20781824310092 37.55488783362066, 57.21633211329911 37.55976835416713, 57.2252833615525 37.56379086846323, 57.23458578244716 37.56691663749735, 57.24414978858466 37.56911555840497, 57.25388327335767 37.5703664543757, 57.26369249798697 37.57065727859754, 57.27348299427711 37.56998523027425, 57.28316047439678 37.56835678159855, 57.29263173892219 37.56578761542141, 57.30180557439844 37.56230247421754, 57.31059363177495 37.55793492180192, 57.31891127725515 37.55272702009186, 57.32667840736619 37.54672892402775, 57.33382022039915 37.53999839855359, 57.3402679367904 37.53260026230896, 57.34595946150642 37.52460576339015, 57.35083998205289 37.51609189319196, 57.35486249634899 37.50714064493857, 57.35798826538311 37.49783822404391, 57.36018718629073 37.48827421790642, 57.36143808226146 37.47854073313341, 57.3617289064833 37.46873150850411, 57.36105685816 37.45894101221396, 57.35942840948431 37.44926353209429, 57.35685924330716 37.43979226756888, 57.21605043826059 37.00615154106069))",سبداست
"POLYGON ((41.55831581551238 36.85080748835658, 41.5571316557788 36.84106565935575, 41.55499833187776 36.83148680787505, 41.55193638888462 36.82216318349057, 41.54797531498423 36.81318457780195, 41.5431532574836 36.80463745969017, 41.53751665543246 36.79660414257499, 41.53111979238984 36.78916199169166, 41.52402427364374 36.78238267902151, 41.51629843291847 36.77633149305149, 41.5080166742836 36.7710667100104, 41.49925875560204 36.76663903263695, 41.49010902041827 36.76309110188468, 41.48065558568386 36.76045708626621, 41.47098949314308 36.75876235279184, 41.46120383255111 36.75802322267139, 41.45139284516886 36.75824681413195, 41.44165101616803 36.75943097386553, 41.43207216468733 36.76156429776657, 41.42274854030285 36.76462624075971, 41.41376993461423 36.7685873146601, 41.40522281650245 36.77340937216073, 41.39718949938727 36.77904597421187, 41.38974734850395 36.78544283725449, 41.38296803583379 36.79253835600059, 41.37691684986377 36.80026419672586, 41.37165206682268 36.80854595536074, 41.36722438944923 36.8173038740423, 41.36367645869696 36.82645360922606, 41.36104244307849 36.83590704396047, 41.35934770960412 36.84557313650125, 41.35860857948367 36.85535879709322, 41.35883217094423 36.86516978447547, 41.38271266448838 37.19685545972106, 41.38389682422196 37.20659728872189, 41.386030148123 37.2161761402026, 41.38909209111614 37.22549976458708, 41.39305316501653 37.2344783702757, 41.39787522251716 37.24302548838747, 41.4035118245683 37.25105880550266, 41.40990868761092 37.25850095638598, 41.41700420635702 37.26528026905613, 41.42473004708229 37.27133145502616, 41.43301180571716 37.27659623806724, 41.44176972439872 37.28102391544069, 41.45091945958249 37.28457184619297, 41.4603728943169 37.28720586181144, 41.47003898685768 37.2889005952858, 41.47982464744965 37.28963972540625, 41.4896356348319 37.28941613394569, 41.49937746383273 37.28823197421212, 41.50895631531343 37.28609865031108, 41.51827993969791 37.28303670731793, 41.52725854538653 37.27907563341754, 41.53580566349831 37.27425357591692, 41.54383898061349 37.26861697386578, 41.55128113149681 37.26222011082316, 41.55806044416697 37.25512459207705, 41.56411163013699 37.24739875135178, 41.56937641317808 37.23911699271691, 41.57380409055153 37.23035907403535, 41.5773520213038 37.22120933885158, 41.57998603692227 37.21175590411718, 41.58168077039664 37.20208981157639, 41.58241990051709 37.19230415098443, 41.58219630905653 37.18249316360217, 41.55831581551238 36.85080748835658))",المونسة
"POLYGON ((62.61255138768336 40.00723048254351, 62.61087217328107 39.99756168191742, 62.60825333656731 39.98810403100281, 62.60472009837124 39.97894861214805, 62.60030648570815 39.9701835970416, 62.59505500408073 39.96189339757036, 62.58901622812778 39.95415785288714, 62.58224831456287 39.94705146051591, 62.57481644209335 39.94064265889994, 62.56679218371377 39.93499316830222, 62.55825281741883 39.93015739640552, 62.54928058197405 39.92618191433671, 62.53996188491147 39.92310500816133, 62.53038647037794 39.92095631016786, 62.52064655484987 39.91975651349257, 62.51083593903816 39.91951717283333, 62.50104910453611 39.92024059317152, 62.49138030391002 39.92191980757381, 62.48192265299541 39.92453864428757, 62.47276723414065 39.92807188248364, 62.46400221903421 39.93248549514673, 62.45571201956297 39.93773697677415, 62.44797647487975 39.9437757527271, 62.44087008250851 39.95054366629201, 62.43446128089254 39.95797553876153, 62.42881179029482 39.96599979714112, 62.42397601839812 39.97453916343606, 62.42000053632931 39.98351139888084, 62.41692363015393 39.99283009594341, 62.41477493216046 40.00240551047694, 62.41357513548517 40.01214542600501, 62.41333579482593 40.02195604181672, 62.41405921516412 40.03174287631877, 62.49452941733377 40.68336039675219, 62.49620863173606 40.69302919737828, 62.49882746844982 40.70248684829289, 62.50236070664589 40.71164226714765, 62.50677431930897 40.72040728225409, 62.5120258009364 40.72869748172533, 62.51806457688934 40.73643302640856, 62.52483249045426 40.74353941877979, 62.53226436292378 40.74994822039576, 62.54028862130336 40.75559771099348, 62.5488279875983 40.76043348289018, 62.55780022304308 40.76440896495899, 62.56711892010566 40.76748587113437, 62.57669433463919 40.76963456912784, 62.58643425016726 40.77083436580313, 62.59624486597897 40.77107370646237, 62.60603170048101 40.77035028612418, 62.61570050110711 40.76867107172188, 62.62515815202172 40.76605223500813, 62.63431357087647 40.76251899681206, 62.64307858598292 40.75810538414897, 62.65136878545415 40.75285390252154, 62.65910433013738 40.7468151265686, 62.66621072250862 40.74004721300368, 62.67261952412458 40.73261534053417, 62.6782690147223 40.72459108215458, 62.683104786619 40.71605171585964, 62.68708026868782 40.70707948041486, 62.6901571748632 40.69776078335229, 62.69230587285666 40.68818536881876, 62.69350566953195 40.67844545329068, 62.69374501019119 40.66863483747898, 62.693021589853 40.65884800297693, 62.61255138768336 40.00723048254351))",رباط جكربند
"POLYGON ((44.3821202996037 38.51775023948236, 44.37275165656499 38.51482893940032, 44.36314178862314 38.51283999377607, 44.35338324405971 38.51180255724324, 44.34357000299342 38.51172662088276, 44.33379657230019 38.51261291600329, 44.3241570754603 38.51445290709833, 44.3147443460978 38.51722887404779, 44.30564903394198 38.52091408277245, 44.29695873182091 38.52547304269774, 44.2887571320946 38.53086184854741, 44.28112322065187 38.53702860317531, 44.27413051623304 38.54391391736327, 44.26784636240426 38.55145148177177, 44.26233127900218 38.55956870553511, 44.2576383792948 38.56818741535112, 44.2538128584717 38.5772246083328, 44.25089155838965 38.5865932513715, 44.24890261276541 38.59620311931336, 44.24786517623257 38.60596166387678, 44.2477892398721 38.61577490494308, 44.24867553499263 38.62554833563631, 44.25051552608767 38.6351878324762, 44.25329149303712 38.64460056183869, 44.25697670176179 38.65369587399451, 44.26153566168708 38.66238617611559, 44.26692446753675 38.6705877758419, 44.27309122216464 38.67822168728463, 44.27997653635261 38.68521439170345, 44.28751410076111 38.69149854553223, 44.29563132452445 38.69701362893432, 44.30425003434046 38.7017065286417, 44.31328722732214 38.7055320494648, 45.5132291377339 39.14538129929779, 45.52259778077261 39.14830259937983, 45.53220764871446 39.15029154500408, 45.54196619327789 39.15132898153691, 45.55177943434418 39.15140491789739, 45.56155286503741 39.15051862277686, 45.5711923618773 39.14867863168182, 45.5806050912398 39.14590266473236, 45.58970040339562 39.1422174560077, 45.59839070551669 39.13765849608241, 45.60659230524301 39.13226969023274, 45.61422621668573 39.12610293560484, 45.62121892110456 39.11921762141688, 45.62750307493334 39.11168005700838, 45.63301815833542 39.10356283324504, 45.6377110580428 39.09494412342903, 45.6415365788659 39.08590693044735, 45.64445787894795 39.07653828740865, 45.64644682457219 39.06692841946679, 45.64748426110503 39.05716987490337, 45.6475601974655 39.04735663383707, 45.64667390234497 39.03758320314384, 45.64483391124993 39.02794370630395, 45.64205794430048 39.01853097694146, 45.63837273557581 39.00943566478563, 45.63381377565052 39.00074536266456, 45.62842496980085 38.99254376293825, 45.62225821517296 38.98490985149552, 45.61537290098499 38.9779171470767, 45.60783533657649 38.97163299324792, 45.59971811281315 38.96611790984583, 45.59109940299714 38.96142501013845, 45.58206221001547 38.95759948931535, 44.3821202996037 38.51775023948236))",نشوى
"POLYGON ((49.86153426932955 33.5597180408316, 49.85905579972329 33.55022263905143, 49.85565855249683 33.54101589272938, 49.85137524499812 33.53218646786546, 49.84624712781984 33.52381939664777, 49.84032358753375 33.51599525854604, 49.83366167107091 33.50878940428729, 49.82632553632867 33.50227123018716, 49.81838583429491 33.49650350982542, 49.8099190286405 33.49154178950213, 49.80100665933234 33.48743385329633, 49.79173455735884 33.48421926287933, 49.78219201813066 33.48192897651411, 49.77247094151704 33.48058505091037, 49.76266494679987 33.48020042880633, 49.75286847106877 33.48077881432311, 49.74317585974033 33.48231463729201, 49.73368045796016 33.48479310689827, 49.72447371163812 33.48819035412473, 49.7156442867742 33.49247366162344, 49.70727721555652 33.49760177880172, 49.69945307745478 33.50352531908781, 49.69224722319603 33.51018723555065, 49.6857290490959 33.51752337029289, 49.67996132873416 33.52546307232665, 49.67499960841086 33.53392987798106, 49.67089167220507 33.54284224728922, 49.66767708178806 33.55211434926272, 49.66538679542285 33.5616568884909, 49.66404286981911 33.57137796510452, 49.66365824771506 33.58118395982169, 49.66423663323184 33.59098043555279, 49.66577245620075 33.60067304688123, 49.73938086273062 33.95251563008944, 49.74185933233688 33.96201103186961, 49.74525657956333 33.97121777819166, 49.74953988706204 33.98004720305558, 49.75466800424032 33.98841427427327, 49.76059154452642 33.996238412375, 49.76725346098925 34.00344426663375, 49.7745895957315 34.00996244073388, 49.78252929776526 34.01573016109562, 49.79099610341967 34.02069188141891, 49.79990847272783 34.02479981762471, 49.80918057470133 34.02801440804171, 49.81872311392951 34.03030469440693, 49.82844419054312 34.03164862001067, 49.83825018526029 34.03203324211471, 49.84804666099139 34.03145485659793, 49.85773927231983 34.02991903362903, 49.8672346741 34.02744056402277, 49.87644142042205 34.02404331679632, 49.88527084528597 34.01976000929761, 49.89363791650365 34.01463189211933, 49.90146205460539 34.00870835183323, 49.90866790886414 34.0020464353704, 49.91518608296427 33.99471030062815, 49.92095380332601 33.98677059859439, 49.9259155236493 33.97830379293998, 49.9300234598551 33.96939142363182, 49.9332380502721 33.96011932165832, 49.93552833663732 33.95057678243014, 49.93687226224106 33.94085570581652, 49.9372568843451 33.93104971109936, 49.93667849882832 33.92125323536825, 49.93514267585942 33.91156062403982, 49.86153426932955 33.5597180408316))",جراناباذ
"POLYGON ((54.41943766604632 36.8330546296663, 54.42077816851592 36.82333308042325, 54.42115933764334 36.8135269508783, 54.42057750256154 36.80373067941954, 54.41903826666041 36.79403860949631, 54.41655645362311 36.7845440810402, 54.41315596466588 36.77533853155047, 54.40886954835629 36.76651061550098, 54.40373848522659 36.7581453505491, 54.39781219021963 36.75032329876925, 54.39114773679599 36.74311979079604, 54.38380930728528 36.73660420034908, 54.3758675747753 36.73083927612618, 54.3673990224915 36.725880537499, 54.35848520722176 36.72177573983127, 54.34921197387992 36.71856441456842, 54.33966862877232 36.71627748852824, 54.32994707952926 36.71493698605865, 54.32014094998431 36.71455581693122, 54.31034467852555 36.71513765201302, 54.30065260860233 36.71667688791415, 54.29115808014622 36.71915870095145, 54.28195253065648 36.72255918990868, 54.27312461460699 36.72684560621827, 54.26475934965512 36.73197666934797, 54.25693729787527 36.73790296435493, 54.24973378990206 36.74456741777858, 54.2432181994551 36.75190584728928, 54.23745327523219 36.75984757979926, 54.23249453660502 36.76831613208306, 54.22838973893728 36.7772299473528, 54.22517841367443 36.78650318069464, 54.22289148763426 36.79604652580225, 54.0982279294952 37.45812167640953, 54.09688742702561 37.46784322565258, 54.09650625789818 37.47764935519753, 54.09708809297998 37.48744562665629, 54.09862732888111 37.49713769657951, 54.10110914191841 37.50663222503562, 54.10450963087564 37.51583777452536, 54.10879604718523 37.52466569057485, 54.11392711031493 37.53303095552673, 54.11985340532189 37.54085300730657, 54.12651785874554 37.54805651527978, 54.13385628825624 37.55457210572674, 54.14179802076622 37.56033702994965, 54.15026657305003 37.56529576857682, 54.15918038831976 37.56940056624456, 54.16845362166161 37.57261189150741, 54.17799696676921 37.57489881754758, 54.18771851601226 37.57623932001718, 54.19752464555721 37.5766204891446, 54.20732091701597 37.57603865406281, 54.2170129869392 37.57449941816167, 54.2265075153953 37.57201760512437, 54.23571306488504 37.56861711616715, 54.24454098093453 37.56433069985756, 54.25290624588641 37.55919963672785, 54.26072829766625 37.5532733417209, 54.26793180563946 37.54660888829725, 54.27444739608642 37.53927045878655, 54.28021232030933 37.53132872627656, 54.28517105893651 37.52286017399276, 54.28927585660424 37.51394635872303, 54.29248718186709 37.50467312538118, 54.29477410790727 37.49512978027358, 54.41943766604632 36.8330546296663))",أستراباذ
"POLYGON ((61.85665127481581 40.94814815086451, 61.85409046003138 40.93867462490023, 61.85061340834623 40.92949772029493, 61.84625360566883 40.92070581565655, 61.84105303928227 40.91238358183293, 61.83506179348377 40.90461116648518, 61.82833756724553 40.89746342222191, 61.82094511854205 40.89100918572775, 61.81295564069547 40.88531061482839, 61.80444607674495 40.88042258987673, 61.79549837844313 40.87639218522512, 61.78619871701597 40.87325821587362, 61.77663665328672 40.87105086366026, 61.76690427515625 40.86979138659353, 61.75709531074622 40.86949191412609, 61.74730422574601 40.87015533034149, 61.73762531365654 40.87177524617893, 61.72815178769226 40.87433606096336, 61.71897488308696 40.87781311264851, 61.71018297844859 40.88217291532591, 61.70186074462497 40.88737348171247, 61.69408832927721 40.89336472751097, 61.68694058501394 40.90008895374921, 61.68048634851979 40.90748140245269, 61.67478777762042 40.91547088029927, 61.66989975266876 40.92398044424979, 61.66586934801715 40.9329281425516, 61.66273537866565 40.94222780397877, 61.66052802645229 40.95178986770802, 61.65926854938557 40.96152224583849, 61.65896907691812 40.97133121024852, 61.65963249313352 40.98112229524872, 61.66125240897096 40.99080120733819, 61.70966673615682 41.21259315860421, 61.71222755094125 41.22206668456849, 61.7157046026264 41.23124358917379, 61.7200644053038 41.24003549381217, 61.72526497169036 41.24835772763578, 61.73125621748886 41.25613014298354, 61.7379804437271 41.26327788724681, 61.74537289243058 41.26973212374097, 61.75336237027716 41.27543069464033, 61.76187193422768 41.28031871959199, 61.77081963252949 41.2843491242436, 61.78011929395666 41.2874830935951, 61.78968135768591 41.28969044580846, 61.79941373581638 41.29094992287519, 61.80922270022641 41.29124939534263, 61.81901378522662 41.29058597912723, 61.82869269731609 41.28896606328979, 61.83816622328037 41.28640524850536, 61.84734312788567 41.28292819682021, 61.85613503252404 41.27856839414281, 61.86445726634766 41.27336782775625, 61.87222968169542 41.26737658195775, 61.87937742595869 41.26065235571951, 61.88583166245284 41.25325990701603, 61.89153023335221 41.24527042916945, 61.89641825830387 41.23676086521893, 61.90044866295548 41.22781316691712, 61.90358263230698 41.21851350548995, 61.90578998452034 41.2089514417607, 61.90704946158706 41.19921906363023, 61.90734893405451 41.1894100992202, 61.90668551783911 41.17961901421999, 61.90506560200167 41.16994010213052, 61.85665127481581 40.94814815086451))",مضيق النهر
"POLYGON ((44.06328999984237 14.45226082261145, 44.05913943623867 14.46115342000072, 44.05588048569938 14.47041002347816, 44.05354453369974 14.47994148689211, 44.05215407673443 14.48965601703945, 44.05172250566415 14.49946005768438, 44.05225397675424 14.50925919055604, 44.05374337164753 14.51895904464813, 44.05617634665705 14.52846620506327, 44.05952947090345 14.53768911264951, 44.06377045196722 14.54653894576504, 44.06885844688238 14.55493047567915, 44.07474445547649 14.56278288737149, 44.08137179226919 14.57002055782491, 44.08867663238429 14.57657378431641, 44.09658862621825 14.58237945569253, 44.10503157694531 14.58738166016421, 44.11392417433458 14.5915322237679, 44.12318077781202 14.59479117430719, 44.13271224122597 14.59712712630684, 44.14242677137332 14.59851758327214, 44.15223081201824 14.59894915434242, 44.1620299448899 14.59841768325234, 44.17172979898199 14.59692828835904, 44.18123695939713 14.59449531334952, 44.19045986698337 14.59114218910312, 44.1993097000989 14.58690120803935, 44.20770123001301 14.5818132131242, 44.21555364170536 14.57592720453008, 44.22279131215877 14.56929986773738, 44.22934453865027 14.56199502762228, 44.23515021002639 14.55408303378832, 44.24015241449807 14.54564008306127, 44.36845830116753 14.30262585461708, 44.37260886477123 14.2937332572278, 44.37586781531051 14.28447665375036, 44.37820376731016 14.27494519033642, 44.37959422427546 14.26523066018907, 44.38002579534574 14.25542661954415, 44.37949432425566 14.24562748667248, 44.37800492936236 14.23592763258039, 44.37557195435284 14.22642047216526, 44.37221883010645 14.21719756457902, 44.36797784904267 14.20834773146349, 44.36288985412752 14.19995620154937, 44.3570038455334 14.19210378985703, 44.3503765087407 14.18486611940362, 44.3430716686256 14.17831289291212, 44.33515967479165 14.172507221536, 44.32671672406459 14.16750501706432, 44.31782412667531 14.16335445346062, 44.30856752319787 14.16009550292133, 44.29903605978393 14.15775955092168, 44.28932152963658 14.15636909395638, 44.27951748899166 14.15593752288611, 44.26971835611999 14.15646899397618, 44.2600185020279 14.15795838886949, 44.25051134161276 14.16039136387901, 44.24128843402653 14.1637444881254, 44.232438600911 14.16798546918918, 44.22404707099688 14.17307346410433, 44.21619465930454 14.17895947269844, 44.20895698885113 14.18558680949115, 44.20240376235963 14.19289164960624, 44.19659809098351 14.2008036434402, 44.19159588651183 14.20924659416726, 44.06328999984237 14.45226082261145))",یحصب
"POLYGON ((42.0282559491293 34.02290457577378, 42.02350683822786 34.01431671153394, 42.01793883769916 34.00623569447738, 42.01160557043205 33.9987393492159, 42.00456802925243 33.99189986965226, 41.99689398952898 33.98578312371354, 41.98865735645929 33.98044801900684, 41.97993745332243 33.97594593550699, 41.97081825755237 33.97232023073914, 41.96138759198946 33.96960582222226, 41.95173627909838 33.96782885119418, 41.94195726629823 33.9670064308573, 41.93214473082802 33.96714648156906, 41.9223931727684 33.96824765456454, 41.91279650495424 33.97029934494581, 41.90344714854265 33.97328179381297, 41.89443514294675 33.97716627855301, 41.88584727870691 33.98191538945445, 41.87776626165036 33.98748338998315, 41.87026991638887 33.99381665725026, 41.86343043682524 34.00085419842988, 41.85731369088651 34.00852823815333, 41.85197858617982 34.01676487122302, 41.84747650267996 34.02548477435988, 41.84385079791212 34.03460397012994, 41.84113638939523 34.04403463569285, 41.83935941836715 34.05368594858393, 41.83853699803028 34.06346496138408, 41.83867704874203 34.07327749685429, 41.83977822173751 34.08302905491391, 41.84182991211879 34.09262572272807, 41.84481236098594 34.10197507913966, 41.84869684572599 34.11098708473556, 42.11381288785442 34.65143489195089, 42.11856199875586 34.66002275619073, 42.12412999928456 34.66810377324729, 42.13046326655167 34.67560011850878, 42.13750080773129 34.68243959807241, 42.14517484745474 34.68855634401113, 42.15341148052443 34.69389144871783, 42.16213138366129 34.69839353221769, 42.17125057943134 34.70201923698553, 42.18068124499425 34.70473364550242, 42.19033255788533 34.70651061653049, 42.20011157068549 34.70733303686737, 42.2099241061557 34.70719298615561, 42.21967566421532 34.70609181316014, 42.22927233202948 34.70404012277886, 42.23862168844107 34.70105767391171, 42.24763369403696 34.69717318917166, 42.2562215582768 34.69242407827022, 42.26430257533336 34.68685607774152, 42.27179892059485 34.68052281047441, 42.27863840015848 34.67348526929479, 42.2847551460972 34.66581122957134, 42.2900902508039 34.65757459650165, 42.29459233430376 34.64885469336479, 42.2982180390716 34.63973549759474, 42.30093244758849 34.63030483203183, 42.30270941861657 34.62065351914075, 42.30353183895344 34.61087450634059, 42.30339178824168 34.60106197087038, 42.30229061524621 34.59131041281076, 42.30023892486493 34.5817137449966, 42.29725647599778 34.57236438858501, 42.29337199125773 34.56335238298912, 42.0282559491293 34.02290457577378))",آلوسة
"POLYGON ((40.14636153266579 21.2416045132962, 40.14701787939556 21.23181295185145, 40.14671132478426 21.22200420622184, 40.14544482112037 21.21227273998979, 40.14323056552651 21.20271227249489, 40.14008988249449 21.19341487626538, 40.13605301851877 21.18447009030944, 40.13115885080623 21.17596405780553, 40.12545451286735 21.16797869649654, 40.1189949405948 21.16059090977712, 40.11184234320071 21.15387184607194, 40.10406560410801 21.14788621363751, 40.09573961756535 21.14269165738625, 40.08694456737459 21.13833820373449, 40.07776515467692 21.13486777882073, 40.06828978223461 21.13231380473403, 40.05860970306404 21.13070087764098, 40.04881814161929 21.1300445309112, 40.03900939598968 21.13035108552251, 40.02927792975763 21.1316175891864, 40.01971746226273 21.13383184478026, 40.01042006603322 21.13697252781228, 40.00147528007728 21.14100939178799, 39.99296924757337 21.14590355950054, 39.98498388626438 21.15160789743942, 39.97759609954495 21.15806746971197, 39.97087703583978 21.16522006710606, 39.96489140340535 21.17299680619876, 39.95969684715409 21.18132279274142, 39.95534339350233 21.19011784293218, 39.95187296858857 21.19929725562985, 39.94931899450187 21.20877262807216, 39.94770606740882 21.21845270724273, 39.90142913103055 21.61553474506143, 39.90077278430077 21.62532630650619, 39.90107933891207 21.63513505213579, 39.90234584257596 21.64486651836784, 39.90456009816982 21.65442698586274, 39.90770078120185 21.66372438209225, 39.91173764517756 21.67266916804819, 39.9166318128901 21.6811752005521, 39.92233615082898 21.68916056186109, 39.92879572310154 21.69654834858051, 39.93594832049562 21.70326741228569, 39.94372505958832 21.70925304472012, 39.95205104613098 21.71444760097138, 39.96084609632175 21.71880105462314, 39.97002550901941 21.7222714795369, 39.97950088146172 21.7248254536236, 39.9891809606323 21.72643838071665, 39.99897252207705 21.72709472744643, 40.00878126770665 21.72678817283512, 40.0185127339387 21.72552166917123, 40.02807320143361 21.72330741357737, 40.03737059766311 21.72016673054535, 40.04631538361905 21.71612986656964, 40.05482141612296 21.71123569885709, 40.06280677743195 21.70553136091821, 40.07019456415138 21.69907178864566, 40.07691362785655 21.69191919125157, 40.08289926029098 21.68414245215887, 40.08809381654224 21.67581646561621, 40.09244727019401 21.66702141542545, 40.09591769510776 21.65784200272778, 40.09847166919446 21.64836663028547, 40.10008459628751 21.6386865511149, 40.14636153266579 21.2416045132962))",بئر ابن المرتفع
