node_without_coord,nearest_coords
جاه زندايا,"[1, 2]"
مجانة,"[1, 1]"
سرشك,"[2, 3]"
كفرسلام,"[2, 2]"
تل وان,"[1, 2]"
منخوس,"[1, 2]"
ذات السلاسل,"[1, 1]"
السرحتین,"[2, 3]"
العينية,"[3, 3]"
خنكل اباذ,"[2, 4]"
قرقيسيا,"[1, 1]"
كاث,"[1, 1]"
السوس الأقصى,"[2, 2]"
طبوس,"[1, 1]"
كسكانة,"[1, 3]"
الجب,"[1, 2]"
مالن كواخرز,"[1, 2]"
كلبايكان,"[1, 2]"
برك,"[1, 2]"
بئر السلاح,[]
خره روذ,"[1, 2]"
أزر سابور,"[1, 2]"
باحمشا,"[1, 1]"
حويران,"[1, 2]"
فنزبور,"[1, 2]"
الندامة,"[1, 3]"
دشت داودي,"[1, 1]"
بخارا,"[1, 1]"
الدكان,"[1, 2]"
یحصب,"[1, 1]"
الزاب,"[1, 2]"
يحيى اباذ,"[1, 2]"
اسناخ,"[2, 2]"
بغيشن,"[1, 2]"
اوبران,"[1, 3]"
رباط جرا,"[2, 3]"
رباط زرودوا,"[1, 2]"
شغب,"[1, 2]"
أوزكند,"[1, 1]"
کدی,"[1, 2]"
كركويش,"[3, 3]"
راس العقبة,"[1, 1]"
دره,"[1, 6]"
بستان بنى عامر,"[1, 1]"
رباط فيروزقند,"[1, 3]"
جنكى,"[1, 1]"
آلوسة,"[1, 1]"
كماهنك,"[1, 1]"
البق,"[2, 2]"
إصطخران,"[1, 1]"
قلعة المجوس,"[1, 2]"
كلكاو,"[1, 1]"
v,"[1, 1]"
جبال الديلم,"[1, 2]"
البحیرة,"[1, 2]"
قصر يزيد,"[1, 1]"
كول,"[1, 2]"
دير بازما,"[1, 1]"
قارا,"[1, 2]"
عقبة الشهداء,[2]
قصر الأمير,"[1, 1]"
جامان,"[1, 2]"
c,"[2, 4]"
جرموا,"[1, 2]"
سابرخاست,"[1, 1]"
ماذرواستان,"[1, 1]"
الفعونية,"[1, 1]"
خرمة,"[1, 1]"
رباط كشر,"[1, 2]"
كرج ابى دلف,"[2, 3]"
نهر الشاش,"[1, 1]"
عقبة أفيق,"[1, 2]"
جسر حر,"[1, 2]"
الحفیر,"[1, 2]"
بدا یعقوب,[]
ابارست,"[1, 2]"
قصبة الدورق,"[1, 2]"
شرف الصلا,[1]
مدین,"[1, 2]"
ساباط,"[2, 2]"
الخوزية,"[1, 2]"
آستانة,"[1, 2]"
أنقرة,[]
جبل بيستون,"[1, 1]"
بمولصة,[5]
جسر شاغر,[]
النقموذية,[]
درهفان,"[1, 3]"
قورية,"[1, 1]"
قلعة الحسن بن علي,[1]
ماءين,"[1, 2]"
ضریة,[1]
أرذخيوه,"[1, 2]"
شاوكرد,"[1, 2]"
غرفة,"[1, 2]"
نفشارية,[1]
العونید,[]
المسدودة,"[1, 2]"
عين العصافير,"[1, 2]"
صيدا,"[1, 1]"
جب أمير المؤمنين,"[1, 1]"
سراة,"[1, 2]"
برزانيان,"[1, 3]"
سيمور,"[1, 1]"
موسى آباذ,"[1, 2]"
كيلين,"[1, 2]"
فرخان,"[2, 3]"
كنجر,"[2, 3]"
قصدار على الساحل في طول مكران ?,[1]
وادي فره,"[1, 4]"
دوسنية,[7]
جويم ابى احمد,"[1, 1]"
عونید,"[1, 3]"
أرومية,[]
وادي الملح,"[1, 1]"
دير النصارى,"[1, 2]"
بوراب,"[1, 2]"
قصر الدرق,"[1, 2]"
رباط جكربند,"[1, 1]"
جايمن,"[1, 2]"
امده,"[1, 2]"
بيلمان,"[1, 2]"
بدوخكث,"[1, 2]"
حارفة,[]
سفا,"[1, 2]"
خرائب ابى حليمة,"[1, 1]"
بستك,"[1, 3]"
ابادان,"[1, 2]"
المونسة,"[1, 1]"
الخان حان لنجان,"[1, 1]"
بومهان,"[1, 2]"
سواد مقولة,"[1, 3]"
بئر الجمالين,"[1, 2]"
نهر دبا,"[1, 1]"
قسطان,"[1, 1]"
جيحون,"[1, 1]"
ملعب الملك,[]
هروك,"[2, 3]"
إسبيدروذ,"[1, 2]"
نهر تيري,"[1, 2]"
تعاسير,"[1, 2]"
أستراباذ,"[1, 1]"
زنك,"[2, 3]"
كه,"[1, 1]"
حصن صاعس,[]
وردراغ,"[1, 1]"
خوار الرى,"[1, 2]"
جراناباذ,"[1, 1]"
قرية الحطب,"[1, 1]"
نهر الاردن,"[1, 1]"
خارزين,"[2, 3]"
قاين,[1]
منزل,"[1, 1]"
سبداست,"[1, 1]"
خروذ,"[1, 3]"
نمخكن,"[1, 3]"
قاووس,"[1, 1]"
الحارله,"[2, 3]"
برسخان الأعلى,"[1, 2]"
رباط البارد,"[1, 2]"
ارمسا,"[1, 2]"
أرجان,[]
قنى غياث,"[1, 2]"
كير حراس,"[1, 1]"
قصر مهدى,"[1, 2]"
فلس,"[1, 1]"
قنب,"[1, 2]"
بلد ابن السوانيطى,[6]
خوزن,"[2, 2]"
موضع بغراخاقان,"[2, 3]"
البحيرة الحلوة,[]
بندق,"[2, 4]"
الحفر,"[1, 2]"
یثرب,"[1, 1]"
جاشان,"[3, 4]"
قلعة يونس,"[1, 2]"
يونان,"[1, 1]"
برزرة,"[1, 1]"
البذان,"[1, 1]"
بسابك,"[1, 2]"
المحراقة,"[2, 2]"
القسطنطينية,[]
نشديغن,"[1, 2]"
النهر,"[2, 2]"
السوس الأدنى,"[3, 3]"
شرف ذي النمل,"[1, 2]"
نريز,[]
وفراوندة,"[1, 1]"
تماجر,"[1, 2]"
الجبل الأسود,"[2, 3]"
غبيرا,"[1, 1]"
قصر عمرو,"[1, 1]"
الرام,[1]
خان,"[1, 1]"
قرية الجن,"[1, 2]"
یبنبم,"[1, 2]"
السونشة,[4]
قرية العصبيات,"[2, 3]"
داور,"[1, 1]"
سمیراء,"[1, 2]"
ولا شتان,"[1, 2]"
الكبس,"[1, 1]"
خالنجان,"[1, 2]"
هرمز,"[1, 2]"
النوق,"[1, 2]"
أمج,"[1, 1]"
باراب سار,"[2, 3]"
العسكر,"[1, 1]"
مضيق النهر,"[1, 1]"
كلنا,"[1, 2]"
أقصى الغوطة,"[1, 2]"
قزدار,"[1, 1]"
البنك,"[1, 2]"
دات العشر,[]
معلثايا,"[1, 1]"
زيادواذ,"[1, 2]"
سابرخواس,"[2, 4]"
نهر العباس,"[2, 2]"
مهرجاناواذ,"[2, 3]"
البحيرة,"[1, 2]"
المخلصة,"[1, 2]"
قرین,"[1, 1]"
بشتر,"[1, 1]"
عجلة,[1]
مسجد أويس,"[1, 1]"
بئر,"[1, 1]"
سبخة منهوسا,"[1, 2]"
برزيان,"[1, 2]"
نشديغن/رباط؟؟؟,"[1, 2]"
زامين,"[1, 1]"
حنس,"[1, 3]"
جب سعيد,"[1, 1]"
قرية جومة,"[1, 5]"
الاسحاقية,"[1, 2]"
رنیة,"[1, 2]"
سمندو,[]
سن نحلس,"[2, 3]"
برمست,"[1, 3]"
أناس,"[1, 1]"
مطارة,"[1, 3]"
القاع,"[1, 1]"
وادی القری,"[1, 2]"
سقيا بنى غفار,"[1, 1]"
قلشانة,"[1, 2]"
كراباذ,"[1, 2]"
نوى,[1]
ديمس,"[1, 2]"
الغاضرة,"[1, 1]"
دهك,"[1, 1]"
شاوكث,"[1, 3]"
مهربان,"[1, 1]"
ضبة,"[2, 4]"
مروغان,"[1, 2]"
الدامغان,"[1, 1]"
نوكباغ,"[2, 3]"
ازميران,"[1, 2]"
اسداواذ,[1]
مروالروذ,"[2, 3]"
الدولاب,"[1, 2]"
المغار,"[1, 3]"
الصفصاف,"[1, 2]"
أمير,"[1, 2]"
كنيسة المجوس,"[2, 2]"
أرمية,"[1, 2]"
أشترمغك,"[1, 1]"
يعاث,"[1, 1]"
بيت سرعا,"[1, 2]"
بئر ابن المرتفع,"[1, 1]"
عضوة,[]
رزمانان,"[1, 2]"
قرية القاضي,"[1, 2]"
ارجان,"[1, 1]"
قلرى,"[1, 2]"
صامغر,"[1, 2]"
قيسارية,"[1, 1]"
قرية جرا,"[1, 4]"
جهينة,"[1, 2]"
أخسيكت,"[1, 2]"
فهل فهرة,"[1, 2]"
درسان,"[1, 1]"
الأرد,"[1, 2]"
له,"[1, 6]"
عين الحجر,"[1, 1]"
ینبع,"[1, 2]"
كوستان,"[2, 5]"
كنكابان,"[1, 2]"
بلد روب,"[2, 2]"
شاواب,"[1, 2]"
كيس,"[1, 2]"
لاه وكره,"[1, 2]"
عسكر ابى جعفر,"[3, 3]"
جابروان,[]
رباط عبد الله,"[1, 1]"
معدن الفضة,"[2, 3]"
ميغون,"[2, 2]"
مخيل,"[1, 1]"
الكرسي,"[1, 2]"
كورد وكلار,"[2, 3]"
أندرابة,"[1, 2]"
ودروه,"[1, 1]"
عميان,"[1, 1]"
أسداواذ,"[1, 1]"
كفركيلا,"[1, 2]"
سرى شهر,"[1, 2]"
آزر,"[1, 1]"
جعاد وجورد,"[1, 3]"
قرنة,"[1, 2]"
ريك,"[3, 4]"
الماحوز,"[1, 2]"
قرطبة,"[1, 1]"
قنوان,"[1, 1]"
جزيرة بنى زغناى,"[1, 2]"
قرية جويم,"[1, 1]"
رباط علياباذ؟؟؟,"[1, 2]"
جبل,"[1, 1]"
اريحاء,"[1, 1]"
نفرة,"[1, 1]"
الراس العین,"[1, 2]"
السرین,"[1, 2]"
نخشب,"[1, 2]"
املوتا,"[1, 1]"
قرية الرصد,"[1, 2]"
الطاحونة,"[1, 1]"
نورين,"[1, 2]"
بدش,"[1, 1]"
رباط علياباذ؟؟؟ پانویس,"[1, 3]"
كفر سلام,"[1, 2]"
بريدا,[]
زياداباذ,"[1, 2]"
نوزكات,"[1, 3]"
الرمانة,"[2, 3]"
ينابد,"[1, 2]"
الخبارجان,"[1, 2]"
الجامدة,"[3, 3]"
خرماروذ,"[1, 2]"
الحدادية,"[1, 2]"
خرسان,"[1, 2]"
روزوند,"[1, 1]"
كاربايه,"[1, 2]"
رائين,"[1, 1]"
البیضاء,"[1, 2]"
باغلى,"[1, 2]"
جنبد,"[3, 3]"
الملتان,"[1, 1]"
حى عبد الله,"[1, 1]"
السكير,"[1, 3]"
كورستان,"[1, 1]"
مرزك,"[1, 2]"
باس وجكين,"[2, 3]"
خاوس,"[1, 2]"
الماريين,"[1, 3]"
بامهر,"[1, 2]"
كركوه,"[2, 3]"
