id,diedAt,country,city
HA0001,220,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA0001,220,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0001,220,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA0001,220,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA0002,1053,MACROREG-ARABIA,SANA_442E153N_S_YEME
HA0002,1053,MACROREG-INDIA,KANBAYA_725E223N_S_SIND
HA0003,141,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0004,220,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0006,163,MACROREG-ARABIA,SANA_442E153N_S_YEME
HA0006,163,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA0007,188,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0008,211,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA0009,224,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA0009,224,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0010,225,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0011,243,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0013,246,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0014,247,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0015,249,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA0016,250,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0017,259,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA0018,266,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA0020,0,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0021,280,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA0022,283,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0023,282,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA0024,285,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0025,292,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0026,294,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA0027,298,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA0027,298,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0029,301,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA0030,303,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA0031,311,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0032,322,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0033,295,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0034,320,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0035,323,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0036,335,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0037,330,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0038,340,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA0038,340,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA0039,340,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA0039,340,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA0041,351,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0042,353,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA0043,370,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA0044,376,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA0045,384,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA0046,385,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
