geoTitle,cornuName,geoTitleOther,lat,lon,cornuRegion,geoProv,geoFinalReg
حمام ابن عمر,حمام إبن عمر,حمام إبن عمر,32.39084,44.34773,Iraq,العراق,الکوفة
الجامعين,الجامعان,الجامعين,32.48152,44.43704,Iraq,العراق,الکوفة
النيل,النيل,النيل,32.511,44.89011,Iraq,العراق,الکوفة
عين التمر,عين التمر,عين التمر,32.62337,43.52574,Iraq,العراق,الکوفة
بيان,بيان,بيان,30.46468,48.03005,Iraq,العراق,البصرة
دبا,دبا,دبا,25.59071,56.22657,Jazirat al-Arab,العراق,البصرة
ابو الخصيب,أبو الخصيب,أبو الخصيب,30.43759,47.99265,Iraq,العراق,البصرة
عبادان,عبادان,عبادان,30.33563,48.27394,Iraq,العراق,البصرة
فم الصلح,فم الصلح,فم الصلح,32.46405,46.1315,Iraq,العراق,واسط
باذبين,باذبين,باذبين,32.17087,46.59233,Iraq,العراق,واسط
الطيب,الطيب,الطيب,32.22674,47.30428,Iraq,العراق,واسط
النهروان,النهروان,النهروان,33.43161,44.59405,Iraq,العراق,بغداد
بردان,بردان,بردان,33.50829,44.36092,Iraq,العراق,بغداد
طراستان,الهاروني,طرستان,33.97686,45.01502,Iraq,العراق,بغداد
خانقين,خانقين,خانقين,34.34844,45.44708,Iraq,العراق,حلوان
السيروان,السيروان,السيروان/ الشيراوان,33.52303,46.86539,Jibal,العراق,حلوان
الدور,الدور,الدور,34.46814,43.80541,Iraq,العراق,سامرا
الدور,الدورق,الدورق/ السراق,30.81069,48.92625,Khuzistan,العراق,سامرا
الدور,الدورق,الدورق/ السراق,30.81069,48.92625,Khuzistan,العراق,سامرا
الجامعين,الجامعان,الجامعين,32.48152,44.43704,Iraq,العراق,سامرا
دمما,دمما,دمما,33.33483,43.78276,Iraq,العراق,سامرا
الأنبار,الأنبار,الأنبار,33.39492,43.7015,Iraq,العراق,سامرا
الأنبار,الأنبار,الأنبار,36.20578,65.94751,Khurasan,العراق,سامرا
هيت,هيت,هيت,33.6437,42.80628,Iraq,العراق,سامرا
السن,السن,السن,35.26076,43.46591,Iraq,العراق,سامرا
ساوة,ساوة,ساوة,34.97799,50.42711,Jibal,الجبال,الري
قزوين,قزوين,قزوين,36.27854,50.0011,Jibal,الجبال,الري
أبهر,أبهر,أبهر,36.15722,49.23473,Jibal,الجبال,الري
شلنبة,شلنبة,شلنبة,35.68449,52.04723,Daylam,الجبال,الري
الخوار,الخوار,الخوار,35.26209,52.40859,Daylam,الجبال,الري
