Lon	Lat	Region	TypeCatOld	KW_Simple	KW_Working	Name	Map
-5.43793	36.16359	Andalus	regions	district	district	Ǧazīraŧ al-Ḫaḍrāʾ	cornu14
-5.33071	36.16752	Andalus	towns	cite	cite	Ǧazīraŧ Ǧabal Ṭāriq	cornu14
-5.91433	36.46640	Andalus	regions	district	district	Šaḏūnaŧ/Šadūnaŧ	cornu14
-5.91433	36.46640	Andalus	towns	cite	cite	Šaḏūnaŧ/Šadūnaŧ	cornu14
-6.18409	36.57191	Andalus	regions	ile	ile	Qādis	cornu14
-6.10856	36.69169	Andalus	towns	cite	cite	Šarīš	cornu14
-4.43066	36.74791	Andalus	regions	district	district	Māliqaŧ	cornu14
-4.43066	36.74791	Andalus	towns	cite	cite	Māliqaŧ	cornu14
-2.50099	36.86202	Andalus	towns	cite	cite	al-Mariyyaŧ	cornu14
-2.41826	36.95657	Andalus	regions	district	district	Baǧǧānaŧ	cornu14
-2.41826	36.95657	Andalus	towns	cite	cite	Baǧǧānaŧ	cornu14
-4.40368	36.98351	Andalus	regions	district	district	Rayyaŧ/Rayyuh	cornu14
-7.90515	37.06463	Andalus	towns	cite	cite?	Ḫušunubaŧ/Uḫšunubaŧ	cornu14
-7.90515	37.06463	Andalus	regions	district	district	Ḫušunubaŧ/Uḫšunubaŧ	cornu14
-4.42886	37.08687	Andalus	towns	cite	cite	Arǧidūnaŧ	cornu14
-5.48272	37.14029	Andalus	towns	cite	cite	Mawrūr	cornu14
-3.59980	37.20621	Andalus	towns	cite	cite	Ġarnāṭaŧ	cornu14
-8.42308	37.22519	Andalus	towns	cite	cite	Madīnaŧ Šalab/Šilb	cornu14
-3.66814	37.22734	Andalus	regions	district	district	Libīraŧ/Ilbīraŧ	cornu14
-3.66814	37.22734	Andalus	towns	cite	cite	Libīraŧ/Ilbīraŧ	cornu14
-7.21996	37.23807	Andalus	towns	cite	cite	Lab	cornu14
1.71713	37.28888	Andalus	waters	mer	mer	Baḥr al-Rūm	cornu14
-3.16459	37.33966	Andalus	towns	cite	cite	Wādiyāš	cornu14
-6.66965	37.38969	Andalus	towns	cite	cite	Lablaŧ	cornu14
-5.96199	37.40790	Andalus	regions	district	district	Išbīliyyaŧ	cornu14
-5.96199	37.40790	Andalus	towns	cite	cite	Išbīliyyaŧ	cornu14
-6.99696	37.41112	Andalus	towns	cite	cite	Ǧabal al-ʿUyūn	cornu14
-5.64097	37.42933	Andalus	towns	cite	cite	Qarmūnaŧ	cornu14
-4.20406	37.45788	Andalus	towns	cite	cite	Bayġū	cornu14
-5.10865	37.53493	Andalus	towns	cite	cite	Istiǧaŧ	cornu14
-0.98315	37.60050	Andalus	villages	localite	localite	Qarṭāǧannaŧ	cornu14
-1.73128	37.65320	Andalus	towns	cite	cite	Lurqaŧ	cornu14
-3.98826	37.74285	Andalus	towns	cite	cite	Mārtūš	cornu14
-5.11225	37.75423	Andalus	waters	riviere	riviere	Nahr Qurṭūbaŧ	cornu14
-3.80302	37.78977	Andalus	towns	cite	cite	Ǧayyān	cornu14
-4.22025	37.87073	Andalus	towns	cite	cite	Ḥiṣn Bulkūnaŧ	cornu14
-3.34803	37.87641	Andalus	towns	cite	cite	Šawḏar	cornu14
-4.78135	37.91898	Andalus	metropoles	metropole	metropole	Qurṭūbaŧ	cornu14
-4.05300	37.92040	Andalus	towns	cite	cite	Arǧūnaŧ	cornu14
-5.58702	37.95728	Andalus	villages	region	region	Firrīš/Qarsīs	cornu14
-1.34462	37.95834	Andalus	regions	region	region	Tudmīr	cornu14
-4.85328	37.96011	Andalus	towns	cite	cite	al-Zahrāʾ	cornu14
-3.87676	37.98847	Andalus	towns	cite	cite	Qasṭallaŧ	cornu14
-1.11443	37.99945	Andalus	towns	cite	cite	Mursiyaŧ	cornu14
-3.45773	37.99980	Andalus	towns	cite	cite	Bayyāsaŧ	cornu14
-7.80444	38.00689	Andalus	regions	district	district	Bāǧaŧ	cornu14
-7.80444	38.00689	Andalus	towns	cite	cite	Bāǧaŧ	cornu14
-0.47061	38.34618	Andalus	towns	cite	cite	Qānt	cornu14
-8.48333	38.36698	Andalus	towns	cite	cite	Qaṣr Banū Wardās	cornu14
-4.89554	38.63018	Andalus	regions	district	district	Faḥṣ al-Ballūṭ	cornu14
-9.19189	38.64984	Andalus	towns	cite	cite	al-Maʿdan	cornu14
-5.01064	38.68214	Andalus	towns	cite	cite	Ġāfiq	cornu14
-9.14514	38.76878	Andalus	towns	cite	cite	Lišbūnaŧ	cornu14
-7.22985	38.77894	Andalus	towns	cite	cite	Ǧalmāniyaŧ	cornu14
-3.78324	38.80312	Andalus	towns	cite	cite	Qalʿaŧ Rabāh/Qalʿaŧ Ribāṭ	cornu14
-9.37353	38.80838	Andalus	villages	localite	localite	Šantaraŧ	cornu14
-4.06918	38.81784	Andalus	towns	cite	cite	Karkūyaŧ	cornu14
