region	lon	lat	topType	topTypeAlt	translitTitle	arTitle	topURI	translitTitleOther	arTitleOther	searchNames	arBW
Andalus	-0.35371	42.16109	regions	district	Wašqaŧ	وشقة	WASHQA_003W421N_R_ANDA	Wašqaŧ	وشقة	Washqa	Washqa
Andalus	-0.35371	42.16109	towns	cite?	Wašqaŧ	وشقة	WASHQA_003W421N_S_ANDA	Wašqaŧ	وشقة	Washqa	Washqa
Andalus	-0.41486	39.43516	regions	district	Balansiyyaŧ	بلنسية	BALANSIYYA_004W394N_R_ANDA	Balansiyyaŧ	بلنسية	Balansiyya	Balansiyya
Andalus	-0.41486	39.43516	towns	cite	Balansiyyaŧ	بلنسية	BALANSIYYA_004W394N_S_ANDA	Balansiyyaŧ	بلنسية	Balansiyya	Balansiyya
Andalus	-0.43734	39.16483	villages	localite	al-Šaqr	ﭐلشقر	SHAQR_004W391N_S_ANDA	al-Šaqr	ﭐلشقر	al-Shaqr	al-Shaqr
Andalus	-0.47061	38.34618	towns	cite	Qānt	قانت	QANT_004W383N_S_ANDA	Qānt	قانت	Qant	Qant
Andalus	-0.52276	38.96551	towns	cite	Šātibaŧ	شاتبة	SHATIBA_005W389N_S_ANDA	Šātibaŧ	شاتبة	Shatiba	Shatiba
Andalus	-0.92920	41.63368	regions	district	Saraqūsaŧ	سرقوسة	SARAQUSA_009W416N_R_ANDA	Saraqūsaŧ, Saraqūsṭaŧ	سرقوسة، سرقوسطة	Saraqusa, Saraqusta	Saraqusa, Saraqusta
Andalus	-0.92920	41.63368	towns	cite	Saraqūsaŧ	سرقوسة	SARAQUSA_009W416N_S_ANDA	Saraqūsaŧ, Saraqūsṭaŧ	سرقوسة، سرقوسطة	Saraqusa, Saraqusta	Saraqusa, Saraqusta
Andalus	-0.98315	37.60050	villages	localite	Qarṭāǧannaŧ	قرطاجنة	QARTAJANNA_009W376N_S_ANDA	Qarṭāǧannaŧ	قرطاجنة	Qartajanna	Qartajanna
Andalus	-0.99933	41.78270	waters	riviere	Nahr Abruh	نهر أبره	NAHRABRUH_009W417N_W_ANDA	Nahr Abruh	نهر أبره	Nahr Abruh	Nahr Abruh
Andalus	-1.11443	37.99945	towns	cite	Mursiyaŧ	مرسية	MURSIYA_011W379N_S_ANDA	Mursiyaŧ	مرسية	Mursiya	Mursiya
Andalus	-1.34462	37.95834	regions	region	Tudmīr	تدمير	TUDMIR_013W379N_R_ANDA	Tudmīr	تدمير	Tudmir	Tudmir
Andalus	-1.62697	42.04634	regions	district	Tuṭīlaŧ	تطيلة	TUTILA_016W420N_R_ANDA	Tuṭīlaŧ	تطيلة	Tutila	Tutila
Andalus	-1.62697	42.04634	towns	cite	Tuṭīlaŧ	تطيلة	TUTILA_016W420N_S_ANDA	Tuṭīlaŧ	تطيلة	Tutila	Tutila
Andalus	-1.73128	37.65320	towns	cite	Lurqaŧ	لرقة	LURQA_017W376N_S_ANDA	Lurqaŧ	لرقة	Lurqa	Lurqa
Andalus	-2.41736	41.13714	towns	cite	Madīnaŧ Sālim	مدينة سالم	MADINASALIM_024W411N_S_ANDA	Madīnaŧ Sālim	مدينة سالم	Madina Salim	Madina Salim
Andalus	-2.41826	36.95657	regions	district	Baǧǧānaŧ	بجانة	BAJJANA_024W369N_R_ANDA	Baǧǧānaŧ	بجانة	Bajjana	Bajjana
Andalus	-2.41826	36.95657	towns	cite	Baǧǧānaŧ	بجانة	BAJJANA_024W369N_S_ANDA	Baǧǧānaŧ	بجانة	Bajjana	Bajjana
Andalus	-2.50099	36.86202	towns	cite	al-Mariyyaŧ	ﭐلمرية	MARIYYA_025W368N_S_ANDA	al-Mariyyaŧ	ﭐلمرية	al-Mariyya	al-Mariyya
Andalus	-3.15111	40.64910	regions	district	Wādī al-Ḥijāraŧ	وادي ﭐلحجارة	WADIHIJARA_031W406N_R_ANDA	Wādī al-Ḥijāraŧ	وادي ﭐلحجارة	Wadi al-Hijara	Wadi al-Hijara
Andalus	-3.15111	40.64910	towns	cite?	Wādī al-Ḥijāraŧ	وادي ﭐلحجارة	WADIHIJARA_031W406N_S_ANDA	Wādī al-Ḥijāraŧ	وادي ﭐلحجارة	Wadi al-Hijara	Wadi al-Hijara
Andalus	-3.16459	37.33966	towns	cite	Wādiyāš	وادياش	WADIYASH_031W373N_S_ANDA	Wādiyāš	وادياش	Wadiyash	Wadiyash
Andalus	-3.34803	37.87641	towns	cite	Šawḏar	شوذر	SHAWDHAR_033W378N_S_ANDA	Šawḏar	شوذر	Shawdhar	Shawdhar
Andalus	-3.45773	37.99980	towns	cite	Bayyāsaŧ	بياسة	BAYYASA_034W379N_S_ANDA	Bayyāsaŧ	بياسة	Bayyasa	Bayyasa
Andalus	-3.59980	37.20621	towns	cite	Ġarnāṭaŧ	غرناطة	GHARNATA_035W372N_S_ANDA	Ġarnāṭaŧ	غرناطة	Gharnata	Gharnata
Andalus	-3.62588	39.81332	towns	cite	Mantīšaŧ	منتيشة	MANTISHA_036W398N_S_ANDA	Mantīšaŧ	منتيشة	Mantisha	Mantisha
Andalus	-3.66814	37.22734	regions	district	Libīraŧ	لبيرة	LIBIRA_036W372N_R_ANDA	Libīraŧ, Ilbīraŧ	لبيرة، إلبيرة	Libira, Ilbira	Libira, Ilbira
Andalus	-3.66814	37.22734	towns	cite	Libīraŧ	لبيرة	LIBIRA_036W372N_S_ANDA	Libīraŧ, Ilbīraŧ	لبيرة، إلبيرة	Libira, Ilbira	Libira, Ilbira
Andalus	-3.78324	38.80312	towns	cite	Qalʿaŧ Rabāh	قلعة رباه	QALARABAH_037W388N_S_ANDA	Qalʿaŧ Rabāh, Qalʿaŧ Ribāṭ	قلعة رباه، قلعة رباط	Qala Rabah, Qala Ribat	Qala Rabah, Qala Ribat
Andalus	-3.80302	37.78977	towns	cite	Ǧayyān	جيان	JAYYAN_038W377N_S_ANDA	Ǧayyān	جيان	Jayyan	Jayyan
Andalus	-3.87676	37.98847	towns	cite	Qasṭallaŧ	قسطلة	QASTALLA_038W379N_S_ANDA	Qasṭallaŧ	قسطلة	Qastalla	Qastalla
Andalus	-3.91003	39.63212	towns	cite	Abnaš	أبنش	ABNASH_039W396N_S_ANDA	Abnaš	أبنش	Abnash	Abnash
Andalus	-3.91362	39.17390	towns	cite	Malaqūn	ملقون	MALAQUN_039W391N_S_ANDA	Malaqūn	ملقون	Malaqun	Malaqun
Andalus	-3.94240	39.97062	villages	village	Muġān	مغان	MUGHAN_039W399N_S_ANDA	Muġān	مغان	Mughan	Mughan
Andalus	-3.98826	37.74285	towns	cite	Mārtūš	مارتوش	MARTUSH_039W377N_S_ANDA	Mārtūš	مارتوش	Martush	Martush
Andalus	-4.05210	39.88926	regions	district	Ṭulayṭilaŧ	طليطلة	TULAYTILA_040W398N_R_ANDA	Ṭulayṭilaŧ	طليطلة	Tulaytila	Tulaytila
Andalus	-4.05210	39.88926	towns	cite	Ṭulayṭilaŧ	طليطلة	TULAYTILA_040W398N_S_ANDA	Ṭulayṭilaŧ	طليطلة	Tulaytila	Tulaytila
Andalus	-4.05300	37.92040	towns	cite	Arǧūnaŧ	أرجونة	ARJUNA_040W379N_S_ANDA	Arǧūnaŧ	أرجونة	Arjuna	Arjuna
Andalus	-4.06918	38.81784	towns	cite	Karkūyaŧ	كركوية	KARKUYA_040W388N_S_ANDA	Karkūyaŧ	كركوية	Karkuya	Karkuya
Andalus	-4.20406	37.45788	towns	cite	Bayġū	بيغو	BAYGHU_042W374N_S_ANDA	Bayġū	بيغو	Bayghu	Bayghu
Andalus	-4.22025	37.87073	towns	cite	Ḥiṣn Bulkūnaŧ	حصن بلكونة	HISNBULKUNA_042W378N_S_ANDA	Ḥiṣn Bulkūnaŧ	حصن بلكونة	Hisn Bulkuna	Hisn Bulkuna
Andalus	-4.40368	36.98351	regions	district	Rayyaŧ	رية	RAYYA_044W369N_R_ANDA	Rayyaŧ, Rayyuh	رية، ريه	Rayya, Rayyuh	Rayya, Rayyuh
Andalus	-4.42886	37.08687	towns	cite	Arǧidūnaŧ	أرجدونة	ARJIDUNA_044W370N_S_ANDA	Arǧidūnaŧ	أرجدونة	Arjiduna	Arjiduna
Andalus	-4.43066	36.74791	regions	district	Māliqaŧ	مالقة	MALIQA_044W367N_R_ANDA	Māliqaŧ	مالقة	Maliqa	Maliqa
Andalus	-4.43066	36.74791	towns	cite	Māliqaŧ	مالقة	MALIQA_044W367N_S_ANDA	Māliqaŧ	مالقة	Maliqa	Maliqa
Andalus	-4.78135	37.91898	metropoles	metropole	Qurṭūbaŧ	قرطوبة	QURTUBA_047W379N_S_ANDA	Qurṭūbaŧ	قرطوبة	Qurtuba	Qurtuba
Andalus	-4.82541	39.97062	towns	cite	Ṭalābiraŧ	طلابرة	TALABIRA_048W399N_S_ANDA	Ṭalābiraŧ	طلابرة	Talabira	Talabira
Andalus	-4.85328	37.96011	towns	cite	al-Zahrāʾ	ﭐلزهراء	ZAHRA_048W379N_S_ANDA	al-Zahrāʾ	ﭐلزهراء	al-Zahra	al-Zahra
