Lon	Lat	Region	TypeCat	KW	Name	Map
-3.91003	39.63212	Andalus	towns	cite	Abnaš	cornu14
-7.1741	38.87561	Andalus	towns	cite	al-Baš/Albas	cornu14
0.57785	41.83632	Andalus	towns	cite	al-Bayḍāʾ	cornu14
-9.19189	38.64984	Andalus	towns	cite	al-Maʿdan	cornu14
-6.87557	40.62317	Andalus	towns	cite	al-Maʾidaŧ	cornu14
-2.50099	36.86202	Andalus	towns	cite	al-Mariyyaŧ	cornu14
-0.43734	39.16483	Andalus	villages	localite	al-Šaqr	cornu14
-4.85328	37.96011	Andalus	towns	cite	al-Zahrāʾ	cornu14
3.00118	43.18643	Andalus	towns	cite	Arbūnaŧ	cornu14
-4.42886	37.08687	Andalus	towns	cite	Arǧidūnaŧ	cornu14
-4.053	37.9204	Andalus	towns	cite	Arǧūnaŧ	cornu14
-7.80444	38.00689	Andalus	regions	district	Bāǧaŧ	cornu14
-7.80444	38.00689	Andalus	towns	cite	Bāǧaŧ	cornu14
-2.41826	36.95657	Andalus	regions	district	Baǧǧānaŧ	cornu14
-2.41826	36.95657	Andalus	towns	cite	Baǧǧānaŧ	cornu14
1.71713	37.28888	Andalus	waters	mer	Baḥr al-Rūm	cornu14
-0.41486	39.43516	Andalus	regions	district	Balansiyyaŧ	cornu14
-0.41486	39.43516	Andalus	towns	cite	Balansiyyaŧ	cornu14
-6.99606	38.835	Andalus	regions	region	Baṭalyūs/Baṭalyūṯ	cornu14
-6.99606	38.835	Andalus	towns	cite	Baṭalyūs/Baṭalyūṯ	cornu14
-4.20406	37.45788	Andalus	towns	cite	Bayġū	cornu14
-3.45773	37.9998	Andalus	towns	cite	Bayyāsaŧ	cornu14
-7.87188	39.02806	Andalus	towns	cite	Bīzaŧ	cornu14
-4.89554	38.63018	Andalus	regions	district	Faḥṣ al-Ballūṭ	cornu14
-5.58702	37.95728	Andalus	villages	region	Firrīš/Qarsīs	cornu14
-6.99696	37.41112	Andalus	towns	cite	Ǧabal al-ʿUyūn	cornu14
-5.01064	38.68214	Andalus	towns	cite	Ġāfiq	cornu14
-7.22985	38.77894	Andalus	towns	cite	Ǧalmāniyaŧ	cornu14
-3.5998	37.20621	Andalus	towns	cite	Ġarnāṭaŧ	cornu14
-3.80302	37.78977	Andalus	towns	cite	Ǧayyān	cornu14
-5.43793	36.16359	Andalus	regions	district	Ǧazīraŧ al-Ḫaḍrāʾ	cornu14
-5.33071	36.16752	Andalus	towns	cite	Ǧazīraŧ Ǧabal Ṭāriq	cornu14
2.84472	41.93607	Andalus	towns	cite	Ǧirundaŧ	cornu14
-4.22025	37.87073	Andalus	towns	cite	Ḥiṣn Bulkūnaŧ	cornu14
-7.90515	37.06463	Andalus	regions	district	Ḫušunubaŧ/Uḫšunubaŧ	cornu14
-5.96199	37.4079	Andalus	regions	district	Išbīliyyaŧ	cornu14
-5.96199	37.4079	Andalus	towns	cite	Išbīliyyaŧ	cornu14
-5.10865	37.53493	Andalus	towns	cite	Istiǧaŧ	cornu14
-4.06918	38.81784	Andalus	towns	cite	Karkūyaŧ	cornu14
-7.21996	37.23807	Andalus	towns	cite	Lab	cornu14
-6.66965	37.38969	Andalus	towns	cite	Lablaŧ	cornu14
0.64889	41.60948	Andalus	sites	placefrontiere	Lāridaŧ	cornu14
-3.66814	37.22734	Andalus	regions	district	Libīraŧ/Ilbīraŧ	cornu14
-3.66814	37.22734	Andalus	towns	cite	Libīraŧ/Ilbīraŧ	cornu14
-9.14514	38.76878	Andalus	towns	cite	Lišbūnaŧ	cornu14
-5.56634	42.6185	Andalus	towns	cite	Liyūn	cornu14
-1.73128	37.6532	Andalus	towns	cite	Lurqaŧ	cornu14
-5.94131	38.93229	Andalus	towns	cite	Madallīn	cornu14
-8.42308	37.22519	Andalus	towns	cite	Madīnaŧ Šalab/Šilb	cornu14
-2.41736	41.13714	Andalus	towns	cite	Madīnaŧ Sālim	cornu14
-6.06629	39.80641	Andalus	towns	cite	Maḫāḍaŧ al-Balāṭ ?	cornu14
-3.91362	39.1739	Andalus	towns	cite	Malaqūn	cornu14
-4.43066	36.74791	Andalus	regions	district	Māliqaŧ	cornu14
-4.43066	36.74791	Andalus	towns	cite	Māliqaŧ	cornu14
-3.62588	39.81332	Andalus	towns	cite	Mantīšaŧ	cornu14
-6.32886	38.89521	Andalus	towns	cite	Māridaŧ	cornu14
-3.98826	37.74285	Andalus	towns	cite	Mārtūš	cornu14
-5.48272	37.14029	Andalus	towns	cite	Mawrūr	cornu14
-3.9424	39.97062	Andalus	villages	village	Muġān	cornu14
-1.11443	37.99945	Andalus	towns	cite	Mursiyaŧ	cornu14
-0.99933	41.7827	Andalus	waters	riviere	Nahr Abruh	cornu14
-5.11225	37.75423	Andalus	waters	riviere	Nahr Qurṭūbaŧ	cornu14
-6.18409	36.57191	Andalus	regions	ile	Qādis	cornu14
-3.78324	38.80312	Andalus	towns	cite	Qalʿaŧ Rabāh/Qalʿaŧ Ribāṭ	cornu14
-0.47061	38.34618	Andalus	towns	cite	Qānt	cornu14
-6.8414	39.69061	Andalus	towns	cite	Qanṭaraŧ al-Sīf	cornu14
-5.64097	37.42933	Andalus	towns	cite	Qarmūnaŧ	cornu14
-0.98315	37.6005	Andalus	villages	localite	Qarṭāǧannaŧ	cornu14
-6.3954	39.46953	Andalus	towns	cite	Qaṣarāš	cornu14
-8.48333	38.36698	Andalus	towns	cite	Qaṣr Banū Wardās	cornu14
-3.87676	37.98847	Andalus	towns	cite	Qasṭallaŧ	cornu14
-6.55006	39.9627	Andalus	towns	cite	Quriyaŧ	cornu14
-4.78135	37.91898	Andalus	metropoles	metropole	Qurṭūbaŧ	cornu14
-4.40368	36.98351	Andalus	regions	district	Rayyaŧ/Rayyuh	cornu14
-5.91433	36.4664	Andalus	regions	district	Šaḏūnaŧ/Šadūnaŧ	cornu14
-5.91433	36.4664	Andalus	towns	cite	Šaḏūnaŧ/Šadūnaŧ	cornu14
-5.76776	41.44051	Andalus	towns	cite	Sammūraŧ	cornu14
-9.37353	38.80838	Andalus	villages	localite	Šantaraŧ	cornu14
-8.71712	39.22337	Andalus	towns	cite	Šantarīn	cornu14
-0.9292	41.63368	Andalus	regions	district	Saraqūsaŧ/Saraqūsṭaŧ	cornu14
-0.9292	41.63368	Andalus	towns	cite	Saraqūsaŧ/Saraqūsṭaŧ	cornu14
-6.10856	36.69169	Andalus	towns	cite	Šarīš	cornu14
-0.52276	38.96551	Andalus	towns	cite	Šātibaŧ	cornu14
-3.34803	37.87641	Andalus	towns	cite	Šawḏar	cornu14
-4.82541	39.97062	Andalus	towns	cite	Ṭalābiraŧ ?	cornu14
-5.93861	39.48654	Andalus	towns	cite	Taraǧīlaŧ	cornu14
-1.34462	37.95834	Andalus	regions	region	Tudmīr	cornu14
-4.0521	39.88926	Andalus	regions	district	Ṭulayṭilaŧ	cornu14
-4.0521	39.88926	Andalus	towns	cite	Ṭulayṭilaŧ	cornu14
0.60933	40.79221	Andalus	towns	cite	Ṭurṭūšaŧ	cornu14
-1.62697	42.04634	Andalus	regions	district	Tuṭīlaŧ	cornu14
-1.62697	42.04634	Andalus	towns	cite	Tuṭīlaŧ	cornu14
-3.15111	40.6491	Andalus	regions	district	Wādī al-Ḥijāraŧ	cornu14
-8.03553	39.5299	Andalus	waters	fleuve	Wādī Tāǧū	cornu14
-3.16459	37.33966	Andalus	towns	cite	Wādiyāš	cornu14
-0.35371	42.16109	Andalus	regions	district	Wašqaŧ	cornu14
1.41141	38.94978	Andalus	regions	ile	Yābisaŧ	cornu14
41.72002	36.99109	Aqur	towns	cite	Aḏramaŧ	cornu2
40.09518	34.93204	Aqur	waystations	etape	al-ʿAwāmil	cornu2
43.32428	35.62554	Aqur	waystations	etape	al-Baqīʿaŧ ?	cornu2
40.74111	34.71355	Aqur	towns	cite	al-Dāliyaŧ	cornu2
40.56368	34.92311	Aqur	waystations	etape	al-Fāš	cornu2
40.59626	35.4148	Aqur	towns	cite	al-Fudayn	cornu2
42.18317	34.23688	Aqur	villages	localite	al-Fuḥaymaŧ	cornu2
40.78158	34.679	Aqur	villages	localite	al-Furḍaŧ	cornu2
40.41354	36.65489	Aqur	towns	cite	al-Ǧaḥšiyyaŧ	cornu2
41.62102	36.2374	Aqur	towns	cite	al-Ǧibāl/ʿAyn al-Ǧibāl	cornu2
