toponym_buckwalter	match_exact	match_fuzzy	match_context
NODATA	NODATA	NODATA	NODATA
AEbylyo	JK_000952_0167,JK_000129_000683	NODATA	JK_000952_0313, JK_000952_1219, JK_000952_2138, JK_000952_2316, JK_000952_2328, JK_000952_4151, JK_000129_000959, JK_000129_001059, JK_000129_001305, JK_000129_001707, JK_000129_002014, JK_000129_002205, JK_000129_003315, JK_000129_004214, JK_000129_007422, JK_000129_007468, JK_000129_007645, JK_000129_007649, JK_000129_008299, JK_000129_008390, JK_000129_008515, JK_000129_009948, JK_000129_010142, JK_000129_010171, JK_000129_010379, JK_000129_010461, JK_000129_010546, JK_000129_010607, JK_000129_011134, JK_000129_011239, JK_000129_011871, JK_000129_012549, JK_000129_012719
AEk	NODATA	NODATA	JK_000952_0735, JK_000952_1197, JK_000129_000652, JK_000129_002010, JK_000129_006111, JK_000129_008242, JK_000129_009686, JK_000129_010217
AEnh	JK_000129_000728	NODATA	NODATA
AErEAl	NODATA	NODATA	NODATA
AErwsno	JK_000129_000693	NODATA	JK_000129_001336, JK_000129_002192, JK_000129_002230, JK_000129_004429, JK_000129_004491, JK_000129_005435, JK_000129_006167, JK_000129_006434, JK_000129_007018, JK_000129_007375, JK_000129_011060, JK_000129_011474, JK_000129_013630
AEtrmgAk	NODATA	NODATA	NODATA
AEtyqAn	NODATA	NODATA	NODATA
AEtyxAn	NODATA	NODATA	NODATA
AHwr	NODATA	NODATA	JK_000952_2257, JK_000129_000311, JK_000129_002961, JK_000129_007951
ASTxr	JK_000952_0193,JK_000129_000748	NODATA	JK_000952_0803, JK_000952_1155, JK_000952_1191, JK_000952_2680, JK_000952_4025, JK_000952_4431, JK_000129_000121, JK_000129_000442, JK_000129_000453, JK_000129_000459, JK_000129_000889, JK_000129_002385, JK_000129_003448, JK_000129_003473, JK_000129_003593, JK_000129_003968, JK_000129_004572, JK_000129_004939, JK_000129_005907, JK_000129_005947, JK_000129_006439, JK_000129_006696, JK_000129_006749, JK_000129_006812, JK_000129_007884, JK_000129_009567, JK_000129_009575, JK_000129_009896, JK_000129_010703, JK_000129_010780, JK_000129_011140, JK_000129_012019, JK_000129_012532, JK_000129_012639, JK_000129_013492, JK_000129_013517, JK_000129_013699
